slug,title,artifactId,matchedSystem,matchedGame,relativePath,approved,reviewerNote
ifdb-17coplfu323xif76,Zork Zero: The Revenge of Megaboz,ifdb-17coplfu323xif76-cover-art,scummvm,zork zero_ the revenge of megaboz,scummvm/zork zero_ the revenge of megaboz/boxart.png,,
ifdb-17coplfu323xif76,Zork Zero: The Revenge of Megaboz,ifdb-17coplfu323xif76-cover-art,dos,zork zero- the revenge of megaboz,dos/zork zero- the revenge of megaboz/boxart.png,,
ifdb-17coplfu323xif76,Zork Zero: The Revenge of Megaboz,ifdb-17coplfu323xif76-cover-art,amiga,zork zero - the revenge of megaboz,amiga/zork zero - the revenge of megaboz/boxart.png,,
ifdb-3p9fdt4fxr2goctw,Leather Goddesses of Phobos,ifdb-3p9fdt4fxr2goctw-cover-art,scummvm,leather goddesses of phobos,scummvm/leather goddesses of phobos/boxart.png,,
ifdb-3p9fdt4fxr2goctw,Leather Goddesses of Phobos,ifdb-3p9fdt4fxr2goctw-cover-art,dos,leather goddesses of phobos,dos/leather goddesses of phobos/boxart.png,,
ifdb-3p9fdt4fxr2goctw,Leather Goddesses of Phobos,ifdb-3p9fdt4fxr2goctw-cover-art,c64,leather goddesses of phobos,c64/leather goddesses of phobos/boxart.png,,
ifdb-3p9fdt4fxr2goctw,Leather Goddesses of Phobos,ifdb-3p9fdt4fxr2goctw-cover-art,atari,leather goddesses of phobos,atari/leather goddesses of phobos/boxart.png,,
ifdb-3p9fdt4fxr2goctw,Leather Goddesses of Phobos,ifdb-3p9fdt4fxr2goctw-cover-art,amstradcpc,leather goddesses of phobos,amstradcpc/leather goddesses of phobos/boxart.png,,
ifdb-4ao65o1u0xuvj8jf,Cutthroats,ifdb-4ao65o1u0xuvj8jf-cover-art,scummvm,cutthroats,scummvm/cutthroats/boxart.png,,
ifdb-4ao65o1u0xuvj8jf,Cutthroats,ifdb-4ao65o1u0xuvj8jf-cover-art,atari8bit,cutthroats,atari8bit/cutthroats/boxart.png,,
ifdb-4ao65o1u0xuvj8jf,Cutthroats,ifdb-4ao65o1u0xuvj8jf-cover-art,atari,cutthroats,atari/cutthroats/boxart.png,,
ifdb-4ao65o1u0xuvj8jf,Cutthroats,ifdb-4ao65o1u0xuvj8jf-cover-art,amstradcpc,cutthroats,amstradcpc/cutthroats/boxart.png,,
ifdb-4ao65o1u0xuvj8jf,Cutthroats,ifdb-4ao65o1u0xuvj8jf-cover-art,amiga,cutthroats,amiga/cutthroats/boxart.png,,
ifdb-56wb8hflec2isvzm,Seastalker,ifdb-56wb8hflec2isvzm-cover-art,scummvm,seastalker,scummvm/seastalker/boxart.png,,
ifdb-56wb8hflec2isvzm,Seastalker,ifdb-56wb8hflec2isvzm-cover-art,atari8bit,seastalker,atari8bit/seastalker/boxart.png,,
ifdb-56wb8hflec2isvzm,Seastalker,ifdb-56wb8hflec2isvzm-cover-art,amstradcpc,seastalker,amstradcpc/seastalker/boxart.png,,
ifdb-56wb8hflec2isvzm,Seastalker,ifdb-56wb8hflec2isvzm-cover-art,amiga,seastalker,amiga/seastalker/boxart.png,,
ifdb-9h6o1charof548ii,Beyond Zork,ifdb-9h6o1charof548ii-cover-art,scummvm,beyond zork,scummvm/beyond zork/boxart.png,,
ifdb-9h6o1charof548ii,Beyond Zork,ifdb-9h6o1charof548ii-cover-art,atari,beyond zork,atari/beyond zork/boxart.png,,
ifdb-9nlbhqnlyb169uge,Stationfall,ifdb-9nlbhqnlyb169uge-cover-art,scummvm,stationfall,scummvm/stationfall/boxart.png,,
ifdb-9nlbhqnlyb169uge,Stationfall,ifdb-9nlbhqnlyb169uge-cover-art,atari8bit,stationfall,atari8bit/stationfall/boxart.png,,
ifdb-9nlbhqnlyb169uge,Stationfall,ifdb-9nlbhqnlyb169uge-cover-art,atari,stationfall,atari/stationfall/boxart.png,,
ifdb-9nlbhqnlyb169uge,Stationfall,ifdb-9nlbhqnlyb169uge-cover-art,amstradcpc,stationfall,amstradcpc/stationfall/boxart.png,,
ifdb-9nlbhqnlyb169uge,Stationfall,ifdb-9nlbhqnlyb169uge-cover-art,amiga,stationfall,amiga/stationfall/boxart.png,,
ifdb-anu79a4n1jedg5mm,Infidel,ifdb-anu79a4n1jedg5mm-cover-art,scummvm,infidel,scummvm/infidel/boxart.png,,
ifdb-anu79a4n1jedg5mm,Infidel,ifdb-anu79a4n1jedg5mm-cover-art,atari8bit,infidel,atari8bit/infidel/boxart.png,,
ifdb-anu79a4n1jedg5mm,Infidel,ifdb-anu79a4n1jedg5mm-cover-art,atari,infidel,atari/infidel/boxart.png,,
ifdb-anu79a4n1jedg5mm,Infidel,ifdb-anu79a4n1jedg5mm-cover-art,amstradcpc,infidel,amstradcpc/infidel/boxart.png,,
ifdb-anu79a4n1jedg5mm,Infidel,ifdb-anu79a4n1jedg5mm-cover-art,amiga,infidel,amiga/infidel/boxart.png,,
ifdb-b0i6bx7g4rkrekgg,Ballyhoo,ifdb-b0i6bx7g4rkrekgg-cover-art,scummvm,ballyhoo,scummvm/ballyhoo/boxart.png,,
ifdb-b0i6bx7g4rkrekgg,Ballyhoo,ifdb-b0i6bx7g4rkrekgg-cover-art,atari8bit,ballyhoo,atari8bit/ballyhoo/boxart.png,,
ifdb-b0i6bx7g4rkrekgg,Ballyhoo,ifdb-b0i6bx7g4rkrekgg-cover-art,amstradcpc,ballyhoo,amstradcpc/ballyhoo/boxart.png,,
ifdb-b0i6bx7g4rkrekgg,Ballyhoo,ifdb-b0i6bx7g4rkrekgg-cover-art,amiga,ballyhoo,amiga/ballyhoo/boxart.png,,
ifdb-buqppbknnwu4qtmg,Rascal,ifdb-buqppbknnwu4qtmg-cover-art,psx,rascal,psx/rascal/boxart.png,,
ifdb-c66u816v8kx2jzm2,Moonmist,ifdb-c66u816v8kx2jzm2-cover-art,scummvm,moonmist,scummvm/moonmist/boxart.png,,
ifdb-c66u816v8kx2jzm2,Moonmist,ifdb-c66u816v8kx2jzm2-cover-art,c64,moonmist,c64/moonmist/boxart.png,,
ifdb-c66u816v8kx2jzm2,Moonmist,ifdb-c66u816v8kx2jzm2-cover-art,atari8bit,moonmist,atari8bit/moonmist/boxart.png,,
ifdb-c66u816v8kx2jzm2,Moonmist,ifdb-c66u816v8kx2jzm2-cover-art,atari,moonmist,atari/moonmist/boxart.png,,
ifdb-c66u816v8kx2jzm2,Moonmist,ifdb-c66u816v8kx2jzm2-cover-art,amstradcpc,moonmist,amstradcpc/moonmist/boxart.png,,
ifdb-c66u816v8kx2jzm2,Moonmist,ifdb-c66u816v8kx2jzm2-cover-art,amiga,moonmist,amiga/moonmist/boxart.png,,
ifdb-ddagftras22bnz8h,Plundered Hearts,ifdb-ddagftras22bnz8h-cover-art,scummvm,plundered hearts,scummvm/plundered hearts/boxart.png,,
ifdb-ddagftras22bnz8h,Plundered Hearts,ifdb-ddagftras22bnz8h-cover-art,c64,plundered hearts,c64/plundered hearts/boxart.png,,
ifdb-ddagftras22bnz8h,Plundered Hearts,ifdb-ddagftras22bnz8h-cover-art,atari8bit,plundered hearts,atari8bit/plundered hearts/boxart.png,,
ifdb-j18kjz80hxjtyayw,Trinity,ifdb-j18kjz80hxjtyayw-cover-art,scummvm,trinity,scummvm/trinity/boxart.png,,
ifdb-j18kjz80hxjtyayw,Trinity,ifdb-j18kjz80hxjtyayw-cover-art,c64,trinity,c64/trinity/boxart.png,,
ifdb-j18kjz80hxjtyayw,Trinity,ifdb-j18kjz80hxjtyayw-cover-art,atari,trinity,atari/trinity/boxart.png,,
ifdb-j18kjz80hxjtyayw,Trinity,ifdb-j18kjz80hxjtyayw-cover-art,amiga,trinity,amiga/trinity/boxart.png,,
ifdb-jnfkbgdgopwfqist,Hollywood Hijinx,ifdb-jnfkbgdgopwfqist-cover-art,scummvm,hollywood hijinx,scummvm/hollywood hijinx/boxart.png,,
ifdb-jnfkbgdgopwfqist,Hollywood Hijinx,ifdb-jnfkbgdgopwfqist-cover-art,atari8bit,hollywood hijinx,atari8bit/hollywood hijinx/boxart.png,,
ifdb-jnfkbgdgopwfqist,Hollywood Hijinx,ifdb-jnfkbgdgopwfqist-cover-art,atari,hollywood hijinx,atari/hollywood hijinx/boxart.png,,
ifdb-jnfkbgdgopwfqist,Hollywood Hijinx,ifdb-jnfkbgdgopwfqist-cover-art,amstradcpc,hollywood hijinx,amstradcpc/hollywood hijinx/boxart.png,,
ifdb-jnfkbgdgopwfqist,Hollywood Hijinx,ifdb-jnfkbgdgopwfqist-cover-art,amiga,hollywood hijinx,amiga/hollywood hijinx/boxart.png,,
ifdb-lidg5nx9ig0bwk55,Sorcerer,ifdb-lidg5nx9ig0bwk55-cover-art,scummvm,sorcerer,scummvm/sorcerer/boxart.png,,
ifdb-lidg5nx9ig0bwk55,Sorcerer,ifdb-lidg5nx9ig0bwk55-cover-art,atari8bit,sorcerer,atari8bit/sorcerer/boxart.png,,
ifdb-lidg5nx9ig0bwk55,Sorcerer,ifdb-lidg5nx9ig0bwk55-cover-art,atari2600,sorcerer,atari2600/sorcerer/boxart.png,,
ifdb-lidg5nx9ig0bwk55,Sorcerer,ifdb-lidg5nx9ig0bwk55-cover-art,amstradcpc,sorcerer,amstradcpc/sorcerer/boxart.png,,
